date,open,high,low,close,volume,a_value,b_value,a_volume,b_volume,all_volume
2005-12-09,4.18,4.29,4.13,4.27,2610097,686398212.92,1186674893.5708,160748996,448578819,1015463124
2005-12-12,4.27,4.37,4.23,4.35,1886670,699258132.6,1205362687.1703,160748996,448578819,1015463124
2005-12-13,4.35,4.36,4.17,4.31,2372731,692828172.76,1205362687.1703,160748996,448578819,1015463124
2005-12-14,4.29,4.44,4.2,4.43,4201774,712118052.28,1209453725.9996,160748996,448578819,1015463124
2005-12-15,4.45,4.64,4.43,4.46,8079903,716940522.16,1214356692.4913,160748996,448578819,1015463124
2005-12-16,4.43,4.55,4.4,4.52,2966366,726585461.92,1218558978.8677,160748996,448578819,1015463124
2005-12-19,4.5,4.5,4.38,4.42,2377140,710510562.32,1195214937.1269,160748996,448578819,1015463124
2005-12-20,4.4,4.45,4.36,4.44,1603591,713725542.24,1185991259.4506,160748996,448578819,1015463124
2005-12-21,4.43,4.49,4.38,4.4,1330750,707295582.4,1186333076.5107,160748996,448578819,1015463124
2005-12-22,4.36,4.43,4.35,4.41,1261387,708903072.36,1186333076.5107,160748996,448578819,1015463124
2005-12-23,4.45,4.48,4.4,4.48,2001352,720155502.08,1205246953.835,160748996,448578819,1015463124
2005-12-26,4.48,4.59,4.47,4.55,2769217,731407931.8,1214356692.4913,160748996,448578819,1015463124
2005-12-27,4.53,4.56,4.48,4.49,1694644,721762992.04,1204668287.1585,160748996,448578819,1015463124
2005-12-28,4.49,4.49,4.49,4.49,--,721762992.04,1204436820.4879,160748996,448578819,1015463124
2005-12-29,4.5,4.75,4.5,4.66,6461977,749090321.36,1223110259.5652,160748996,448578819,1015463124
2005-12-30,4.66,4.75,4.61,4.62,3493442,742660361.52,1204205353.8173,160748996,448578819,1015463124
2006-01-04,4.7,4.75,4.55,4.7,4039961,755520281.2,1213890170.5195,160748996,448578819,1015463124
2006-01-05,4.71,4.93,4.69,4.89,5902459,786062590.44,1283552218.2161,160748996,448578819,1015463124
2006-01-06,4.9,4.94,4.82,4.89,5561576,786062590.44,1302096915.1724,160748996,448578819,1015463124
2006-01-09,4.88,5.08,4.82,5.06,6304150,813389919.76,1358101083.5669,160748996,448578819,1015463124
2006-01-10,5.06,5.32,5.0,5.31,7991503,853577168.76,1396107821.1643,160748996,448578819,1015463124
2006-01-11,5.31,5.36,5.16,5.19,6633365,834287289.24,1359014838.6212,160748996,448578819,1015463124
2006-01-12,5.18,5.53,5.13,5.45,7952961,876082028.2,1405446335.0183,160748996,448578819,1015463124
2006-01-13,5.45,5.62,5.38,5.46,6394886,877689518.16,1391705917.2135,160748996,448578819,1015463124
2006-01-16,5.38,5.45,5.12,5.18,7344265,832679799.28,1321145814.7212,160748996,448578819,1015463124
2006-01-17,5.1,5.32,5.08,5.18,4096902,832679799.28,1376901470.45,160748996,448578819,1015463124
2006-01-18,5.17,5.49,5.16,5.43,5137482,872867048.28,1489349863.0605,160748996,448578819,1015463124
2006-01-19,5.43,5.95,5.4,5.75,12993396,924306727.0,1638436827.8704,160748996,448578819,1015463124
2006-01-20,5.72,5.85,5.67,5.82,6545504,935559156.72,1665323296.5448,160748996,448578819,1015463124
2006-01-23,5.78,5.9,5.58,5.89,6026162,946811586.44,1632669898.5734,160748996,448578819,1015463124
2006-01-24,5.84,5.88,5.7,5.74,5067912,922699237.04,1665003011.2681,160748996,448578819,1015463124
2006-01-25,5.73,5.81,5.6,5.71,3999495,917876767.16,1687997610.1088,160748996,448578819,1015463124
2006-02-06,5.79,5.94,5.65,5.9,4407922,948419076.4,1779543575.4903,160748996,448578819,1015463124
2006-02-07,5.9,5.92,5.62,5.74,5302386,922699237.04,1751423963.6425,160748996,448578819,1015463124
2006-02-08,5.69,5.78,5.43,5.57,5092981,895371907.72,1694874323.4041,160748996,448578819,1015463124
2006-02-09,5.6,5.62,5.38,5.41,4318873,869652068.36,1624717493.2701,160748996,448578819,1015463124
2006-02-10,5.41,5.53,5.41,5.44,2557819,874474538.24,1647200263.6784,160748996,448578819,1015463124
2006-02-13,5.44,5.48,5.24,5.3,4083818,851969678.8,1609664982.4198,160748996,448578819,1015463124
2006-02-14,5.28,5.62,5.25,5.6,4434913,900194377.6,1646723872.9726,160748996,448578819,1015463124
2006-02-15,5.6,5.62,5.48,5.52,2565812,887334457.92,1651216389.8449,160748996,448578819,1015463124
2006-02-16,5.52,5.52,5.28,5.3,3329241,851969678.8,1595708349.6242,160748996,448578819,1015463124
2006-02-17,5.28,5.38,5.24,5.34,2730355,858399638.64,1558640936.0738,160748996,448578819,1015463124
2006-02-20,5.34,5.34,5.34,5.34,--,858399638.64,1507316341.9191,160748996,448578819,1015463124
2006-02-21,5.34,5.34,5.34,5.34,--,858399638.64,1567643912.9711,160748996,448578819,1015463124
2006-02-22,5.34,5.34,5.34,5.34,--,858399638.64,1558490662.1694,160748996,448578819,1015463124
2006-02-23,5.34,5.34,5.34,5.34,--,858399638.64,1586403927.7605,160748996,448578819,1015463124
2006-02-24,5.34,5.34,5.34,5.34,--,858399638.64,1585792066.2514,160748996,448578819,1015463124
2006-02-27,5.34,5.34,5.34,5.34,--,858399638.64,1562238538.2022,160748996,448578819,1015463124
2006-02-28,5.34,5.34,5.34,5.34,--,858399638.64,1566888057.6611,160748996,448578819,1015463124
2006-03-01,5.34,5.34,5.34,5.34,--,858399638.64,1580531582.441,160748996,448578819,1015463124
2006-03-02,5.34,5.34,5.34,5.34,--,858399638.64,1547991226.3319,160748996,448578819,1015463124
2006-03-03,5.34,5.34,5.34,5.34,--,858399638.64,1533749297.4075,160748996,448578819,1015463124
2006-03-06,5.34,5.34,5.34,5.34,--,858399638.64,1505717607.0082,160748996,448578819,1015463124
2006-03-07,5.34,5.34,5.34,5.34,--,858399638.64,1427402473.893,160748996,448578819,1015463124
2006-03-08,5.34,5.34,5.34,5.34,--,858399638.64,1432604642.457,160748996,448578819,1015463124
2006-03-09,5.34,5.34,5.34,5.34,--,858399638.64,1427953328.6828,160748996,448578819,1015463124
2006-03-10,5.34,5.34,5.34,5.34,--,858399638.64,1442046329.4393,160748996,448578819,1015463124
2006-03-13,5.34,5.34,5.34,5.34,--,858399638.64,1470098654.4643,160748996,448578819,1015463124
2006-03-14,5.34,5.34,5.34,5.34,--,858399638.64,1442185388.8732,160748996,448578819,1015463124
2006-03-15,5.34,5.34,5.34,5.34,--,858399638.64,1515158396.8328,160748996,448578819,1015463124
2006-03-16,5.39,5.57,5.36,5.42,4349200,871259558.32,1518926010.3336,160748996,448578819,1015463124
2006-03-17,5.42,5.42,5.17,5.2,3044346,835894779.2,1499476529.8994,160748996,448578819,1015463124
2006-03-20,5.22,5.29,5.1,5.27,1793993,847147208.92,1508032273.7142,160748996,448578819,1015463124
2006-03-21,5.28,5.42,5.26,5.37,3197685,863222108.52,1540810825.1762,160748996,448578819,1015463124
2006-03-22,5.37,5.37,5.26,5.35,3870983,860007128.6,1545899951.8777,160748996,448578819,1015463124
2006-03-23,5.34,5.69,5.28,5.57,7113754,895371907.72,1578243830.4641,160748996,448578819,1015463124
2006-03-24,5.63,5.74,5.55,5.6,9565588,900194377.6,1606871233.535,160748996,448578819,1015463124
2006-03-27,5.62,5.67,5.5,5.65,3057389,908231827.4,1609647487.8458,160748996,448578819,1015463124
2006-03-28,5.63,5.66,5.54,5.61,3506865,901801867.56,1618298778.949,160748996,448578819,1015463124
2006-03-29,5.6,5.86,5.56,5.72,9166603,919484257.12,1638113402.5419,160748996,448578819,1015463124
2006-03-30,5.72,5.78,5.6,5.62,3444000,903409357.52,1596039849.3714,160748996,448578819,1015463124
2006-03-31,5.6,5.81,5.55,5.79,3781529,930736686.84,1617359454.9021,160748996,448578819,1015463124
2006-04-03,5.84,5.87,5.71,5.79,5972280,930736686.84,1664603955.5507,160748996,448578819,1015463124
2006-04-04,5.79,5.79,5.6,5.69,7494897,914661787.24,1682874256.8434,160748996,448578819,1015463124
2006-04-05,5.69,6.26,5.67,6.26,16099824,1006288714.96,1778559752.4245,160748996,448578819,1015463124
2006-04-06,6.36,6.86,6.31,6.47,19170709,1040046004.12,1764288755.5926,160748996,448578819,1015463124
2006-04-07,6.43,7.06,6.4,7.0,15933491,1125242972.0,1797556347.683,160748996,448578819,1015463124
